ITEM,HS CODE,GOODS DESCRIPTION 
123,05119990,"Other animal products, nes; dead animals of Chapter 1 or 3"
124,06011000,"Dormant bulbs, tubers... rhizomes"
125,06021000,Unrooted cuttings and slips
126,06022000,"Trees, shrubs, bushes, grafted or not, of kind bearing edible fruit or nuts"
127,06024000,"Roses, grafted or not"
128,06029010,Mushroom spawn
129,06029090,"Other live plants, (incl.their roots) cuttings and slips"
130,06031100,"Roses, fresh"
131,06031900,Other fresh cut flowers
132,06039000,Other cut flowers
133,06042000,"Fresh foliage, branches & other parts of plants without flowers"
134,07011000,"Seed potatoes, fresh or chilled"
135,07019000,"Other potatoes, fresh or chilled"
136,07020000,Tomatoes fresh or chilled
137,07031000,"Onions and shallots, fresh or chilled"
138,07032000,"Garlic, fresh or chilled"
139,07039000,"Leeks and other alliaceous vegetables,  fresh or chilled nes"
140,07041000,"Cauliflowers and headed broccoli, fresh or chilled"
141,07042000,"Brussels sprouts, fresh or chilled"
142,07049000,"Cabbages, kohlrabi, kale.... etc, fresh or chilled"
143,07051100,"Cabbage lettuce, fresh or chilled"
144,07051900,"Lettuce, fresh or chilled, (excl. cabbage lettuce)"
145,07061000,"Carrots and turnips, fresh or chilled"
146,07069000,"Beetroot...radishes and other similar edible roots, fresh or chilled"
147,07070000,"Cucumbers and gherkins, fresh or chilled"
148,07081000,"Peas (Pisum sativum), fresh or chilled"
149,07082000,"Beans(Vigna spp.Phaseolus),fresh or chilled"
150,07089000,"Leguminous vegetables, fresh or chilled, nes"
151,07092000,"Asparagus, fresh or chilled"
152,07093000,"Aubergines (egg-plants), fresh or chilled"
153,07094000,"Celery, fresh or chilled"
154,07095100,"Mushrooms of the genus Agaricus, fresh or chilled"
155,07095900,Other mushrooms and truffles nes
156,07096010,"Chillies, fresh or chilled"
157,07096090,"Other fruits of the genus capiscum or pimenta, fresh or chilled"
158,07097000,"Spinach, fresh or chilled"
159,07099100,"Globe artichokes, fresh or chilled"
160,07099300,"Pumpkins, squash and gourds(cucurbita) fresh or chilled"
161,07099900,Other vegetables fresh or chilled nes
162,07101000,"Potatoes, frozen"
163,07102100,"Shelled or unshelled peas (pisum sativum), frozen"
164,07102200,"Beans shelled or unshelled vigna spp...), frozen"
165,07103000,"Spinach, frozen"
166,07104000,"Sweet corn, frozen"
167,07108000,"Vegetables, frozen, nes"
168,07109000,"Mixtures of vegetables, frozen"
169,07112000,"Olives provisionally preserved, not for immediate consumption"
170,07115100,Mushrooms of the genus Agaricus
171,07115900,Other mushrooms and truffles
172,07119000,Other vegetables; mixtures of vegetables but no fit for immediate consumption
173,07122000,"Dried onions whole,cut , sliced,broken or in powderbut not further prepared."
174,07123100,"Dried mushrooms of the genus Agaricus whole,cut, sliced,broken or in powderbut not furth"
175,07123900,Other dried mushrooms and truffles
176,07129000,"Dried vegetables, mixtures of vegetables, nes"
177,07131010,"Dried,shelled peas seeds"
