ITEM,HS CODE,GOODS DESCRIPTION 
1231,38089490,Disinfectants in containers <20Lor 5kg
1232,38089910,Rodenticides and similar products nes in containers >20l /5kg
1233,38089990,Rodenticides and similar products nes in containers <20l /5kg
1234,38091000,"Finishing agents, etc, with a basis of amylaceous substances nes"
1235,38099100,Finishing agents etc. of a kind used in the textile or like industries nes
1236,38099200,"Finishing agents, etc, of a kind used in the paper or like industries nes"
1237,38099300,Finishing agents etc  of a kind used in the leather or like industries nes
1238,38101000,Pickling preparations for metal surfaces; soldering... powders
1239,38109000,"Preparations such as fluxes for soldering..., etc, nes"
1240,38111900,Anti-knock preparations (excl. based on lead)
1241,38112100,Additives for lubricating oils with petroleum oils
1242,38112900,Additives for lubricating oils (excl. with petroleum oils)
1243,38119000,"Other additives other than for lubricating oils, nes"
1244,38121000,Prepared rubber accelerators
1245,38122000,"Compound plasticisers for rubber or plastics, nes"
1246,38123000,Anti-oxidising preparations and stabilisers for rubber or plastics
1247,38130000,Preparations for fire-extinguishers; charged fire-extinguishing grenades
1248,38140000,"Organic composite solvents and thinners, nes; paint or varnish removers"
1249,38151100,Supported catalysts with nickel or its compounds
1250,38151200,Supported catalysts with precious metal or its compounds
1251,38151900,"Supported catalysts, nes"
1252,38159000,"Reaction initiators, accelerators and catalytic preparations, nes"
1253,38160000,"Refractory cements, mortars, concretes and similar compositions, nes"
1254,38170000,"Mixed alkylbenzenes & mixed alkylnaphthalenes, other than T/H 27.07 or 29.02"
1255,38180000,"Chemical elements in disk form and compounds, doped for electronics"
1256,38190000,Hydraulic brake fluids and similar liquids with <70% petroleum oil
1257,38200000,Anti-freezing preparations and prepared de-icing fluids
1258,38210000,"Prepared culture media for development of micro-organisms(incl viruses) or of plant,hu"
1259,38220000,Composite Diagnostic...reagents...medical or veterinary research SH
1260,38231100,Stearic acid
1261,38231200,Oleic acid
1262,38231300,Tall oil fatty acids
1263,38231910,Industrial monocarboxylic palm fatty acids
1264,38231990,Industrial monocarboxylic other fatty acids
1265,38237000,Industrial fatty alcohols
1266,38241000,Prepared binders for foundry moulds or cores
1267,38243000,Non-agglomerated metal carbides mixed together or with metallic binders
1268,38244000,"Prepared additives for cements, mortars or concretes"
1269,38245000,Non-refractory mortars and concretes
1270,38247800,Mixture cont perfluorocarbons(PFCs) or hydrofluorocarbons(HFCs) but not cont chlorofluor
1271,38249010,Synthetic sweetening preparations
1272,38249090,Other chemical and residual products of chemical industries nes
1273,38254900,Other waste organic solvents
1274,38255000,"Wastes of metal pickling liquors,hydraulic fluids,brake fluids and anti-freeze fluids"
1275,38259000,Other residual products of the chemical or allied industries nes
1276,39011000,"Polyethylene having a specific gravity <0.94, in primary forms"
1277,39012000,"Polyethylene having a specific gravity >=0.94, in primary forms"
1278,39013000,"Ethylene-vinyl acetate copolymers, in primary forms"
1279,39019000,"Other polymers of ethylene, in primary forms, nes"
1280,39021000,"Polypropylene, in primary forms"
1281,39023000,Propylene copolymers
1282,39029000,Other polymers of propylene
1283,39031100,"Expansible polystyrene, in primary forms"
1284,39031900,"Polystyrene (excl. expansible), in primary forms"
1285,39032000,"Styrene-acrylonitrile (san) copolymers, in primary forms"
1286,39033000,"Acrylonitrile-butadiene-styrene (abs) copolymers, in primary forms"
1287,39039000,"Polymers of styrene, in primary forms, nes"
1288,39041000,"Polyvinyl chloride, not mixed with other substances, in primary forms"
1289,39042100,"Non-plasticised polyvinyl chloride mixed, in primary forms"
1290,39042200,"Plasticised polyvinyl chloride mixed, in primary forms"
1291,39044000,"Vinyl chloride copolymers (excl. acetate), in primary forms"
1292,39046100,"Polytetrafluoroethylene, in primary forms"
1293,39046900,"Fluoro-polymers (excl. polytetrafluoroethylene), in primary forms"
1294,39049000,"Polymers of halogenated olefins, in primary forms, nes"
1295,39051200,Polyvinyl acetate in aqueous dispersion
1296,39051900,"Polyvinyl acetate, not in aqueous dispersions, in primary forms"
1297,39052100,Vinyl acetate copolymers in aqueous dispersion
1298,39052900,"Vinyl acetate copolymers, not in aqueous dispersion, in primary forms"
1299,39053000,"Polyvinyl alcohol, whether or not containing unhydrolysed acetate groups"
1300,39059100,Copolymers
1301,39059900,Polymers of other vinyl esters & other vinyl polymers in primary forms nes
1302,39061000,"Polymethyl methacrylate, in primary forms"
1303,39069000,"Acrylic polymers prepared,in primary forms, nes"
1304,39071000,"Polyacetals, in primary forms"
1305,39072000,"Other polyethers, in primary forms, nes"
1306,39073000,"Epoxide resins, in primary forms"
1307,39074000,"Polycarbonates, in primary forms"
1308,39075000,"Alkydresins, in primary forms"
1309,39076000,"Polyethylene terephthalate, in primary forms"
1310,39079100,"Unsaturated polyesters, in primary forms, nes"
1311,39079900,"Polyesters, in primary forms, nes"
1312,39081000,"Polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms"
1313,39089000,"Other polymides, in primary forms, nes"
1314,39091000,"Urea resins; thiourea resins, in primary forms"
1315,39092000,"Melamine resins, in primary forms"
1316,39093000,"Other amino resins, in primary forms, nes"
1317,39094000,"Phenolic resins, in primary forms"
1318,39095000,"Polyurethanes, in primary forms"
1319,39100000,Silicones in primary forms
1320,39111000,"Petroleum resins... other resins and polyterpenes, in primary forms"
1321,39119000,"Polysulphides, polysulphones and other products..., in primary forms"
1322,39121100,"Non-plasticised cellulose acetates, in primary forms"
1323,39122000,"Cellulose nitrates (incl. collodions), in primary forms"
1324,39123100,"Carboxymethylcellulose and its salts, in primary forms"
1325,39123910,AVICEL PH101 (MICROCRYSTALLINE CELLULOSE)
1326,39123990,"OTHER CELLULOSE ETHERS, IN PRIMARY FORMS, NES"
1327,39129000,"Cellulose and its chemical derivatives, in primary forms, nes"
1328,39131000,"Alginic acid, its salts and esters, in primary forms"
1329,39139010,Hardened proteins
1330,39139090,Other natural & modified polymers in primary forms
1331,39140000,"Ion-exchangers based on polymers of 39.01 to 39.13, in primary forms"
1332,39151000,"Waste, parings and scrap, of polymers of ethylene"
1333,39159000,"Waste, parings and scrap, of other plastics, nes"
1334,39161000,"Monofilament >1mm, rods... and profile shapes, of polymers of ethylene"
1335,39162000,"Monofilament >1mm, rods..., etc, of polymers of vinyl chloride"
1336,39169000,"Monofilament >1mm, rods... and profile shapes, of other plastics, nes"
1337,39171000,Artifical guts (sausage casings) of hardened protein or cellulosic materials
1338,39172110,"Tubes, pipes, etc,rigid, OF POLYMERS OF ETHYLENE, INTERNAL DIAMTER <63.5MM"
1339,39172190,"Rigid,tubes,pipes and hoses of polymers of ethylene (excl Seamless tubes >63.5mm)"
1340,39172200,"Rigid,tubes,pipes & hoses of polymers of propylene"
1341,39172310,"Tubes,etc, rigid, of polymers of vinyl chloride, external diam 18 to 28mm"
1342,39172320,Tubes having external diameter not exceeding 610mm
1343,39172390,"Other tubes, pipes & hoses, rigid, of polymers of vinyl chloride"
1344,39172912,"Tubes,.. rigid, of acrylonitrile butadiene styrene ext diameter <610mm"
1345,39172919,"Other tubes,pipes, & hoses, rigid, of polystyrene & its copolymers"
1346,39172990,"Other tubes, pipes, & hoses, rigid, of other plastics, nes"
1347,39173110,Flexible tubes...with a burst pressure >=27.6mpa & int. diameter =<63.5mm
1348,39173130,"Flexible tubes...of polyvinly chloride, internal diameter =<63.5mm"
1349,39173190,"Other flexible tubes, pipes & hoses with burst pressure >=27,6mpa"
1350,39173210,"Tubes etc not reinforced....of polyethlene, internal diameter <63.5mm"
1351,39173220,Seamless tubes of pvc of internal diameter exceeding  610mm
1352,39173290,"Tubes, pipes and hoses,not reinforced, nes....."
1353,39173310,"Seamless tubes of ethylene polymers, inrenal dia =< 63.5mm"
1354,39173390,"Tubes,pipes&hoses, not reinforced, with fittings exc. 3917.3310 to 3917.3330"
1355,39173910,Ethylene seamless tubes/internal diameter<=63.5mm
1356,39173990,"Other tubes,pipes and hoses,nes"
1357,39174000,"Fittings, for tubes, pipes and hoses, of plastic"
1358,39181000,"Floor... coverings of polymers of vinyl chloride, in rolls or tiles"
1359,39189000,"Floor, wall or ceiling coverings of plastics, nes, in rolls or tiles"
1360,39191000,"Self-adhesive tape, plates, strip..., in rolls, width =< 20 cm"
1361,39199010,"Adhesive backed sheeting, unprinted, rolls not less than 275 by 225mm."
1362,39199090,"Other adhesive plates,tape, strip, foil etc of plastics"
1363,39201000,Printed polymers ethylene not reinforced ...  etc
1364,39202010,"Transparent polyproplene film, printed ,thickness <51 micrometers"
1365,39202090,Other plates....laminated or combined of polymers of propylene
1366,39203000,"Plates..., of polymers of styrene, not reinforced, etc"
1367,39204300,Other plates...of vinly chloride containing => 6% of plasticisers
1368,39204900,Other plates...of polymers of vinyl chloride containing =< 6% of plasticisers
1369,39205100,"Plates.., of poly(methyl methacrylate), not reinforced, etc"
1370,39205900,"Plates..., of other acrylic polymers, not reinforced, etc, nes"
1371,39206100,"Plates..., of polycarbonates, not reinforced, etc"
1372,39206200,"Plates..., of poly(ethylene terephthalate), not reinforced, etc"
1373,39206900,"Plates..., of other polyesters, not reinforced,etc, nes"
1374,39207300,"Plates..., of cellulose acetate, not reinforced, etc"
1375,39207900,"Plates..., of other cellulose derivatives, not reinforced, etc, nes"
1376,39209100,"Plates..., of poly(vinyl butyral), not reinforced, etc"
1377,39209200,"Plates..., of polyamides, not reinforced, etc"
1378,39209400,"Plates..., of phenolic resins, not reinforced, etc"
1379,39209910,POLYVINYL CHLORIDE FILM(PVC)
1380,39209990,OTHER PLATES ... OF OTHER PLASTICS NOT REINFORCED.
1381,39211100,"Cellular plates, strips... of polymers of styrene"
1382,39211200,"Cellular plates, strips... of polymers of vinyl chloride"
1383,39211390,Other articles of polyurethanes nes
1384,39211920,other film not being printed of other plastics width =>10cm nes
1385,39211990,"Cellular plates,strips,sheets....of other plastics nes"
1386,39219010,other laminated sheets for use in greenhouses width=>5.5m
1387,39219090,"Other  plates,strips,sheets....of plastics nes"
1388,39221000,"Baths, shower-baths,sinks and wash-basins, of plastics"
1389,39222000,Lavatory seats and covers of plastics
1390,39229000,"Bidets, lavatory pans... and other sanitary ware of plastics, nes"
1391,39231000,"Boxes,cases,crates,& similar articles of plastics for conveyance or pack...of goods."
1392,39232100,Sacks and bags (incl. cones) of polymers of ethylene
1393,39232910,Sacks and bags -Plastic poultry handling crates
1394,39232920,Grain silos
1395,39232990,Other sacks and bags of plastics nes
1396,39233000,"Carboys, bottles, flasks and similar articles of plastics"
1397,39234000,"Spools, cops, bobbins and similar supports of plastics"
1398,39235000,"Stoppers, lids, caps and other closures of plastics"
1399,39239010,Plastic poultry handling crates nes
1400,39239091,SILICA GEL SATCHETS
1401,39239099,OTHER ARTICLES FOR CONVEYANCE OR PACKAGING OF GOODS OF PLASTIC NES
1402,39241010,"Plastic basins,buckets,plates & mugs"
1403,39241090,Other Tableware and kitchenware of plastics
1404,39249010,"Plastic basins,buckets,plates & mugs"
1405,39249090,"Other Household and toilet articles of plastics, nes"
1406,39251000,"Reservoirs... and similar containers, capacity >300 l, of plastics"
1407,39252000,"Doors, windows and their frames and thresholds for doors, of plastics"
1408,39253010,"Shutters, blinds incl venetian blinds and similar articles"
1409,39253090,Fittings and parts thereof for shutters incl venetian blinds and similar articles
1410,39259000,"Builders' ware of plastics, nes"
1411,39261000,Office or school supplies of plastics
1412,39262000,"Articles of apparel & clothing accessories of plastics (incl gloves,mittens & mitts)"
1413,39263000,"Fittings for furniture, coachwork or the like of plastics"
1414,39264000,Statuettes and other ornamental articles of plastics
1415,39269010,"Ear, plugs, defenders; welders protective face masks and shields for industrial workers"
1416,39269020,"Shoe trims,boot and shoe lasts ;transmission ,conveyor and elavator belting of plastics"
1417,39269030,"Incise drapes for surgical purposes of plastics, put up in retail packings"
1418,39269040,Ladder tapes of plastic for use in manufacture of venetian blinds
1419,39269050,Livestock ear-tags
1420,39269060,Petri dishes
1421,39269090,"Other articles of plastic, nes"
1422,40011000,"Natural rubber latex, in primary forms or in plates, sheets or strip"
1423,40012200,"Technically specified natural rubber, in primary forms or in plates, etc"
1424,40012900,"Other natural rubber, in primary forms or in plates, etc, nes"
1425,40013000,"Balata, gutta-percha... and similar gums, in primary forms or in plates"
1426,40021100,Latex of styrene-butadiene or carboxylated styrene-butadiene rubber
1427,40021900,"Styrene-butadiene rubber; carboxylated styrene-butadiene rubber, nes"
1428,40022000,"Butadiene rubber, in primary forms or in plates, sheets or strip"
1429,40024100,Latex of chloroprene (chlorobutadiene) rubber
1430,40024900,Chloroprene (chlorobutadiene) rubber (excl. latex)
1431,40029900,"Other synthetic rubber products (excl. latex), nes"
1432,40030090,"Reclaimed rubber in plates, sheets or strip"
1433,40040090,Scrap of rubber (excl hard rubber) obtained therefrom
1434,40051000,"Rubber compounded with carbon black or silica, unvulcanized"
1435,40052000,"Rubber solutions; dispersions, unvulcanized, nes"
1436,40059100,"Plates, sheets and strip of unvulcanized, compounded rubber, nes"
1437,40059900,"Compounded rubber, unvulcanized, in primary forms nes"
1438,40061000,Camel-back strips for retreading rubber tyres
1439,40069000,"Other forms and articles of unvulcanized rubber, nes"
1440,40070000,Vulcanized rubber thread and cord
1441,40081100,"Plates, sheets and strip of cellular vulcanized rubber"
1442,40081900,"Rods and profile shapes of cellular vulcanized rubber, nes"
1443,40082100,"Plates, sheets and strip of non-cellular, vulcanized rubber(excl. hard)"
1444,40082900,"Rods and profile shapes of non-cellular, vulcanized rubber (excl. hard)"
1445,40091100,"Tubes,..of vulcanised rubber not reinforced or otherwise combined without fittings"
1446,40091200,"Tubes,..of vulcanised rubber not reinforced or otherwise combined with fittings"
1447,40092100,"Tubes,..of vulcanised rubber...combined only with metal (without fittings)"
1448,40092200,"Tubes,..of vulcanised rubber...combined only with metal (with fittings)"
1449,40093100,"Tubes,..of vulcanised rubber..combined only with textile material (without fittings)"
1450,40093200,"Tubes,..of vulcanised rubber..combined only with textile material (with fittings)"
1451,40094100,"Tubes,pipes..of vulcanised rubber..combined with other material (without fittings)"
1452,40094200,"Tubes,pipes..of vulcanised rubber..combined with other material (with fittings)"
1453,40101100,"Conveyor belts or belting,of vulcanized rubber reinforced only with metal"
1454,40101200,Conveyor belts/belting of vulcanised rubber reinf'd only with textile mats
1455,40101900,"Conveyor belts or belting, of vulcanised rubber, nes"
1456,40103100,Endless transmission belts of trapezoidal cross section..circumference >60cm but =<180cm
1457,40103200,Endless transmission belts of..other than.. section..circumference >60 but =<180cm
1458,40103300,Endless transmission belts of trapezoidal  c/section..circumference >180 but =<240cm
1459,40103400,Endless transmission belts of...other than V-ribbed of circumference >180 but =<240cm
1460,40103500,Endless synchronous belts of an outside circumference of >60 but =<150cm
1461,40103600,Endless synchronous belts of an outside circumference of >150 but =<198cm
1462,40103900,Other Conveyor or transimission belts or belting of vulcanised rubber.
1463,40111000,"New pneumatic tyres, of rubber of a kind used on motor cars"
1464,40112010,New pneumatic tyres of rubber of a rim size equal to 22.5 inches (57.15cm)
1465,40112090,Other new pneumatic tyres of rubber of a kind used on buses or lorries
1466,40113000,"New pneumatic tyres, of rubber for aircraft"
1467,40114000,"New pneumatic tyres, of rubber of a kind used on motorcycles"
1468,40115000,"New pneumatic tyres, of rubber of a kind used on bicycles"
1469,40116100,"New pneumatic tyres,of rubber having...used on agric or forestry vehicles & machines."
1470,40116200,"New pneumatic tyres, having..used on constr or industr vehicles..having rim size =<61cm"
1471,40116300,"New pneumatic tyres, having..used on constr or industr vehicles..having rim size > 61cm"
1472,40116900,"Other new pneumatic tyres, of rubber having a ""herring-bone"" or similar tread"
1473,40119210,New pneumatic tyres...used on agriculture or..of a kind normally used on tractors.
1474,40119290,"Other new pneumatic tyres, of rubber...used on agric or forestry vehicles and machines"
1475,40119310,Other new pneumatic tyres..used on tractor having rim size not exceeding 61cm
1476,40119390,"Other new pneumatic tyres, of rubber...used on construction &...having rim =<60cm."
1477,40119410,"Other new pneumatic tyres, of rubber...used on tractor having rim exceeding 61cm."
1478,40119490,"Other new pneumatic tyres, of rubber...used on construction having rim exceeding 61cm."
1479,40119900,"Other new pneumatic tyres, of rubber."
1480,40121110,"Solid,retreaded or used pneumatic tyres of rubber;solid or cushion tyres,tyre treads.."
1481,40121190,"Other retreaded or used pneumatic tyres of rubber;solid or cushion tyres,tyre treads.."
1482,40121210,"Solid,retreaded or used pneumatic tyres of rubber of a kind used on buses or lorries."
1483,40121290,"Other,retreaded or used pneumatic tyres of rubber of a kind used on buses or lorries."
1484,40121300,"Retreaded or used pneumatic tyres of rubber ,solid or...of a kind used on aircraft."
1485,40121911,Other retreaded or used pneumatic tyres rubber... of a kind used on tractors.
1486,40121919,Other retreaded or used pneumatic tyres rubber... of a kind used on bulldozers.
1487,40121991,Other solid retreaded or used pneumatic tyres... of a kind used on tractors....
1488,40121999,Other retreaded or used pneumatic tyres of rubber...
1489,40122010,Used pneumatic tyres of rubber normally used on aircraft
1490,40122090,"Other used pneumatic tyres of rubber, nes"
1491,40129000,Other tyres
1492,40131000,"Inner tubes, of rubber of a kind used on motor cars, buses or lorries"
1493,40132000,"Inner tubes, of rubber of a kind used on bicycles"
1494,40139010,Inner tubes of rubber normally used on aircraft
1495,40139090,"Other tubes of rubber, nes"
1496,40141000,Sheath contraceptives
1497,40149010,Baby feeding teats of vulcanised rubber
1498,40149090,"Other hygienic or pharmaceutical articles of vulcanised rubber, nes"
1499,40151100,Surgical gloves
1500,40151910,"Latex examination gloves, whether or not sterilised"
1501,40151990,"Other gloves of vulcanised rubber, nes"
1502,40159000,"Articles of apparel and clothing accessories of vulcanized rubber, nes"
1503,40161010,Parts of ind/agric/mining machinery of cellular vulcanised rubber
1504,40161090,Other articles of cellular vulcanised rubber
1505,40169100,"Floor coverings and mats of vulcanized rubber, non-cellular"
1506,40169200,"Erasers, of vulcanized rubber"
1507,40169310,Parts of ind/agric/mining machinery of vulcanised rubber
1508,40169320,Disc washers & joints of vulcanised rubber
1509,40169330,Oil seals of vulcanised rubber
1510,40169360,Gaskets and oil seals for aircraft
1511,40169390,"Other gaskets, washers & seals of vulcanised rubber"
1512,40169400,"Boat or dock fenders, of vulcanized rubber"
1513,40169510,"Parts of ind/agric/mining machinery, inflatable, of vulcanised rubber"
1514,40169520,Curing tubes curing patches of vulcanised rubber
1515,40169590,"Other inflatable articles, of vulcanised rubber"
1516,40169910,"Parts of ind/agric/mining machinery of vulcanised rubber, nes"
1517,40169920,Stoppers & rings for bottles of vulcanised rubber
1518,40169930,Other aircraft parts of rubber and bead seaters
1519,40169990,"Other articles of vulcanised rubber, nes"
1520,40170090,Hard rubber;in all forms inc.waste  and scrap ...nes
1521,41012000,"Whole hides & skins =<8kg dried,=<10kg dry salted or =<16kg fresh wet salted or...."
1522,41015000,Whole raw hides & skins of bovine(including buffalo)..of a weight exceeding 16kg
1523,41019000,"Other whole raw hides & skins of bovine...,including buts,bends,and bellies."
1524,41032000,"Hides and skins of reptiles, fresh or preserved, not tanned"
1525,41033000,"Hides and skins of swine, fresh or preserved, not tanned"
1526,41039000,"Other hides and skins, fresh or preserved, not tanned,parchment-dressed or further..."
1527,41041100,"Full grains,unsplit; in the wet state of tanned or crust hides & skins of bovine..."
1528,41041900,Other tanned or crust hides & skins of bovine...in the wet state(incl wet-blue)
1529,41064000,Tanned or crust hides & skins of reptiles.
1530,41069200,"Other tanned /crust hides & skins of other animals, without wool on,in the dry state"
1531,41071100,"Full grains, unsplit of whole hides & skins"
1532,41071900,Other whole hides & skins.
1533,41079100,"Other full grains, unsplit leather further prepared...,including sides."
1534,41079900,"Other leather further prepared after tanning or crusting, incl parchment...."
1535,42010000,"Saddlery and harness for any animal, of any material"
1536,42021100,"Trunks, suit-cases..., etc, with outer surface of leather"
1537,42021200,"Trunks, suit-cases..., etc, with outer surface of plastic or textiles"
1538,42021900,"Trunks, suit-cases..., etc, nes"
1539,42022100,"Handbags with outer surface of leather, or composition or patent leather"
1540,42022200,Handbags with outer surface of plastic sheeting or textile materials
1541,42022900,"Handbags, nes"
1542,42023100,"Articles normally carried in pocket or handbag, of leather or patent leather"
1543,42023200,"Articles normally carried in pocket or handbag, of plastics or textiles"
1544,42023910,Spectacle cases
1545,42023990,"Articles normally carried in pocket or handbag, nes"
1546,42029100,"Cases and containers, nes, with outer surface of leather"
1547,42029200,"Cases and containers, nes, with outer surface of plastic or textiles"
1548,42029900,"Cases and containers, nes, with outer surface of other materials, nes"
1549,42031000,Articles of apparel of leather
1550,42032100,"Gloves, mittens and mitts for use in sports, of leather"
1551,42032900,"Protective gloves, mittens and mitts, nes, of leather"
1552,42033000,Belts and bandoliers of leather or composition leather
1553,42034000,"Clothing accessories of leather or composition leather, nes"
1554,42050000,"Articles of leather or of composition leather, nes"
1555,43031000,Articles of apparel and clothing accessories of furskins
1556,43039000,"Articles of furskin, nes"
1557,43040000,Artificial fur and articles thereof
1558,44011000,"Fuel wood, in logs, in billets... or in similar forms"
1559,44012200,Non-coniferous wood in chips or particles
1560,44013100,"Sawdust, wood waste and scrap (incl. agglomerated)"
1561,44029000,Other Wood charcoal
1562,44031000,"Wood in the rough..., treated with paint, stains, creosote, etc"
1563,44032000,Untreated coniferous wood in the rough...
1564,44039900,"Wood, nes in the rough..., (excl. treated)"
1565,44041000,"Coniferous hoopwood; split poles, etc; wooden sticks, etc; chipwood"
1566,44042000,"Non-coniferous hoopwood; split poles, etc; wooden sticks, etc; chipwood"
1567,44050000,Wood wool; wood flour
1568,44069000,"Railway or tramway sleepers (cross-ties) of wood, impregnated"
1569,44071000,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, >6mm thick"
1570,44072900,Other tropical wood spec'd in subhdg.note 1 to ch44 sawn lengthwse>6mm nes
1571,44079100,Oak wood (quercus spp.) sawn/chipped lengthwise sliced or peeled >6m thick
1572,44079400,Other wood of cherry (Prunus spp)
1573,44079900,"Wood, nes, sawn or chipped lengthwise, sliced or peeled, >6mm thick"
1574,44081090,"Coniferous veneer sheets...not planed, sanded or finger jointed..."
1575,44083990,Tropical veneer sheets/sheets for plywood nes ....
1576,44089010,"Veneer sheets ...planed,sanded or finger jointed, nes"
1577,44089090,"Veneer sheets ...not planed, sanded or finger jointed...nes"
1578,44091000,"Coniferous wood, continuously shaped along any of its edges or faces"
1579,44092900,Other wood
1580,44101100,Particle Board
1581,44101200,Oriented strand board (OSB)
1582,44101900,Other particle board or similar board
1583,44109000,Other particle board
1584,44111200,Fibreboard of a thickness =<5mm
1585,44111300,Fibreboard of a thickness >5mm and= <9mm
1586,44111400,Fibreboard of a thickness >9mm
1587,44119200,Fibreboard of a density >0.8g/cm3
1588,44119300,Fibreboard of a density >0.5g/cm3 <0.8g/cm3
1589,44119400,Fibreboard of a density =<0.5/cm3
1590,44121000,Plywood of bamboo
1591,44123200,"Plywood other, with at least one outer ply of non-coniferous wood"
1592,44123900,Other plywood
1593,44129400,"Blockboard, laminboard and battenboard"
1594,44129900,"Plywood, veneered panels and similar laminated wood nes"
1595,44130000,"Densified wood, in blocks, plates, strips or profile shapes"
1596,44140000,"Wooden frames for paintings, photographs, mirrors or similar objects"
1597,44151000,"Cases, boxes, crates, drums, and similar packings; cable drums."
1598,44152000,"Pallets, box pallets and other load boards of wood; pallet collars of wood"
1599,44160000,"Casks, barrets, vats, tubs, etc, and parts thereof, of wood"
1600,44170000,"Tools..., broom or brush bodies... of wood; boot or shoe trees of wood"
1601,44181000,"Windows, french-windows and their frames, of wood"
1602,44182000,"Doors and their frames and thresholds, of wood"
1603,44184000,"Shuttering for concrete constructional work, of wood"
1604,44186000,Posts and beams
1605,44187100,Builders' joinery and capentry for mosaic floors
1606,44187200,Other multilayer
1607,44187900,Other builders joinery
1608,44189010,Cellular wood panels
1609,44189090,"Other builders' joinery and carpentry, of wood, nes"
1610,44190000,"Tableware and kitchenware, of wood"
1611,44201000,"Statuettes and other ornaments, of wood"
1612,44209010,Panels of marquetry and inlaid wood
1613,44209091,Cakets & cases for jewellery/cuttlery etc of wood & wooden art. of furnit.
1614,44209099,"Other wood marquetry, inlaid wood; caskets... of wood"
1615,44211000,Clothes hangers of wood
1616,44219010,Ice cream sticks
1617,44219090,Other articles of wood not anywhere specified
1618,45031000,Corks and stoppers of natural cork
1619,45039000,"Articles of natural cork, nes"
1620,45041000,"Blocks..., tiles of any shape, solid cylinders, of agglomerated cork"
1621,45049090,"Articles of agglomerated cork, other, nes"
1622,46012900,"Other Mats, matting and screens of vegetable material"
1623,46019900,"Plaiting materials (excl. vegetable), in sheet form"
1624,46021100,Basketwork wickerwork of bamboo
1625,46021200,Basketwork wickerwork of rattan
1626,46021900,"Other basketwork, wickerwork"
1627,46029000,Articles of plaiting materials nes
1628,47032100,"Semi-bleached or bleached coniferous chemical wood pulp, soda..., nes"
1629,47062000,Pulps of fibres derived from recovered (waste and scrap) paper/paperboard
1630,47071000,"Recovered (waste/scrap) unbleached kraft paper,paperboard, of...paperboard"
1631,47072000,Recovered (waste/scrap) other paper/paperboard of bleached chemical pulp
1632,47079000,"Recovered (Waste and scrap)  paper or paperboard, nes"
1633,48010000,Newsprint in rolls or sheets
1634,48021010,"Hand-made paper and paperboard in og. mill wrappers =<440*380mm,but weighing =>220g/m2"
1635,48021090,Other hand-made paper and paperboard
1636,48022010,"Paper of a kind used as a base for photo-sensitive,heat sensitive/electro-sensitive..."
1637,48022090,Other paper & paperboard as a base for photo-sensitive ... paper
1638,48025490,"Other paper and paper board weighing less than 40g/m²,nes"
1639,48025590,"Other paper weighing >=40g/m² but =<150g/m² in rolls ,nes"
1640,48025610,"Other paper/board weighing >=40g/m² but =<150g/m²,unfolded size =<435*297mm flat/folded"
1641,48025690,"Other paper weighing >=40g/m² but <=150gm² in sheets sides <=435*297mm,nes"
1642,48025710,Other paper/board weighing =>40g/m² but <=150g/m²  in original mill wrappers....
1643,48025790,"Other paper weighing >=40g/m² but <=150g/m² ,nes"
1644,48025810,"Printing paper/board weighing >=150g/m²,in o/g mill wrappers,flat/rolled,>440*38mm,...."
1645,48025890,"Other paper weighing >= 150g/m²,nes"
1646,48026190,"Other in rolls excl in ori mill wrappers, gummed,printed,waxed,lithographed......"
1647,48026290,"Other paper in sheets sides <=435*297mm unfolded excl in orig mill wrappers, printed,gum"
1648,48026910,Other paper/board in o/g mill wrap >=440*380mm folded /flat...
1649,48026990,"Other paper/paperboard >=10%,nes"
1650,48030000,"Toilet or facial tissue stock,towel napkin  stock & similar paper, in rolls or sheets"
1651,48041100,"Unbleached kraftliner, uncoated, in rolls or sheets"
1652,48041900,"Kraftliner, uncoated (excl. unbleached), in rolls or sheets"
1653,48042100,"Unbleached sack kraft paper, uncoated, in rolls or sheets"
1654,48042900,"Sack kraft paper (excl. unbleached), uncoated, in rolls or sheets"
1655,48043100,"Unbleached kraft paper..., weighing <=150g/m²"
1656,48043900,"Kraft paper... (excl. unbleached), weighing =<150g/m2"
1657,48044200,"Kraft paper..., weighing >150g/m² but <225g/m², bleached uniformly"
1658,48044900,"Kraft paper..., weighing >150g/m² but <225g/m², nes"
1659,48045100,"Unbleached kraft paper..., weighing >=225g/m²"
1660,48045900,"Kraft paper..., weighing >=225g/m², nes"
1661,48051100,Uncoated paper & paperboard semi-chemical fluting paper (rolls) not further worked/proce
1662,48051200,Uncoated straw-fluting paper not further worked/processed
1663,48051900,Other uncoated fluting paper
1664,48052400,Testliner (recycled linerboard) weighing 150g/m² or less.
1665,48052500,Testliner (recycled linerboard) weighing more than 150g/m².
1666,48053000,"Sulphite wrapping paper, in rolls or sheets"
1667,48054010,Wrapping filter paper in rolls/sheets; >=28g/m² but =<220g/m²
1668,48054090,"Other filter paper & paperboard, in rolls or sheets"
1669,48055000,"Felt paper and paperboard, in rolls or sheets"
1670,48059100,Felt paper & paperboard weighing 150g/m² or less
1671,48059300,Felt paper & paperboard weighing 225g/m² or more.
1672,48061000,"Vegetable parchment, in rolls or sheets"
